patient,class,cell_type,cell_subtype,n_cells
SMC10,Tumor,B cells,IgG+ Plasma,90
SMC10,Tumor,B cells,Unknown,1
SMC10,Tumor,Epithelial cells,CMS1,79
SMC10,Tumor,Epithelial cells,CMS2,40
SMC10,Tumor,Epithelial cells,CMS3,392
SMC10,Tumor,Myeloids,Pro-inflammatory,128
SMC10,Tumor,Myeloids,Proliferating,42
SMC10,Tumor,Myeloids,SPP1+,398
SMC10,Tumor,Myeloids,Unknown,84
SMC10,Tumor,Myeloids,cDC,19
SMC10,Tumor,Stromal cells,Enteric glial cells,1
SMC10,Tumor,Stromal cells,Lymphatic ECs,1
SMC10,Tumor,Stromal cells,Myofibroblasts,64
SMC10,Tumor,Stromal cells,Pericytes,16
SMC10,Tumor,Stromal cells,Proliferative ECs,4
SMC10,Tumor,Stromal cells,Smooth muscle cells,8
SMC10,Tumor,Stromal cells,Stalk-like ECs,13
SMC10,Tumor,Stromal cells,Stromal 1,19
SMC10,Tumor,Stromal cells,Stromal 2,7
SMC10,Tumor,Stromal cells,Stromal 3,3
SMC10,Tumor,Stromal cells,Tip-like ECs,22
SMC10,Tumor,T cells,CD4+ T cells,134
SMC10,Tumor,T cells,CD8+ T cells,273
SMC10,Tumor,T cells,NK cells,26
SMC10,Tumor,T cells,Regulatory T cells,260
SMC10,Tumor,T cells,T follicular helper cells,11
SMC10,Tumor,T cells,T helper 17 cells,39
SMC10,Tumor,T cells,Unknown,3
SMC10,Tumor,T cells,gamma delta T cells,1
SMC11,Tumor,B cells,CD19+CD20+ B,61
SMC11,Tumor,B cells,IgA+ Plasma,3
SMC11,Tumor,B cells,IgG+ Plasma,186
SMC11,Tumor,B cells,Unknown,4
SMC11,Tumor,Epithelial cells,CMS1,2
SMC11,Tumor,Epithelial cells,CMS2,321
SMC11,Tumor,Epithelial cells,CMS3,3
SMC11,Tumor,Myeloids,Pro-inflammatory,18
SMC11,Tumor,Myeloids,Proliferating,3
SMC11,Tumor,Myeloids,SPP1+,39
SMC11,Tumor,Myeloids,Unknown,8
SMC11,Tumor,Myeloids,cDC,8
SMC11,Tumor,Stromal cells,Myofibroblasts,9
SMC11,Tumor,Stromal cells,Pericytes,10
SMC11,Tumor,Stromal cells,Stalk-like ECs,6
SMC11,Tumor,Stromal cells,Stromal 1,2
SMC11,Tumor,Stromal cells,Stromal 2,11
SMC11,Tumor,Stromal cells,Tip-like ECs,15
SMC11,Tumor,T cells,CD4+ T cells,137
SMC11,Tumor,T cells,CD8+ T cells,189
SMC11,Tumor,T cells,NK cells,138
SMC11,Tumor,T cells,Regulatory T cells,106
SMC11,Tumor,T cells,T follicular helper cells,88
SMC11,Tumor,T cells,T helper 17 cells,318
SMC11,Tumor,T cells,Unknown,3
SMC11,Tumor,T cells,gamma delta T cells,10
SMC14,Tumor,B cells,CD19+CD20+ B,37
SMC14,Tumor,B cells,IgA+ Plasma,1
SMC14,Tumor,B cells,IgG+ Plasma,20
SMC14,Tumor,Epithelial cells,CMS1,12
SMC14,Tumor,Epithelial cells,CMS2,104
SMC14,Tumor,Epithelial cells,CMS3,48
SMC14,Tumor,Epithelial cells,CMS4,2
SMC14,Tumor,Myeloids,Pro-inflammatory,244
SMC14,Tumor,Myeloids,Proliferating,4
SMC14,Tumor,Myeloids,SPP1+,276
SMC14,Tumor,Myeloids,Unknown,30
SMC14,Tumor,Myeloids,cDC,39
SMC14,Tumor,Stromal cells,Enteric glial cells,4
SMC14,Tumor,Stromal cells,Lymphatic ECs,4
SMC14,Tumor,Stromal cells,Myofibroblasts,133
SMC14,Tumor,Stromal cells,Pericytes,23
SMC14,Tumor,Stromal cells,Proliferative ECs,4
SMC14,Tumor,Stromal cells,Smooth muscle cells,37
SMC14,Tumor,Stromal cells,Stalk-like ECs,57
SMC14,Tumor,Stromal cells,Stromal 1,2
SMC14,Tumor,Stromal cells,Stromal 2,2
SMC14,Tumor,Stromal cells,Tip-like ECs,31
SMC14,Tumor,T cells,CD4+ T cells,179
SMC14,Tumor,T cells,CD8+ T cells,243
SMC14,Tumor,T cells,NK cells,54
SMC14,Tumor,T cells,Regulatory T cells,102
SMC14,Tumor,T cells,T follicular helper cells,5
SMC14,Tumor,T cells,T helper 17 cells,35
SMC14,Tumor,T cells,Unknown,17
SMC15,Tumor,B cells,CD19+CD20+ B,272
SMC15,Tumor,B cells,IgA+ Plasma,4
SMC15,Tumor,B cells,IgG+ Plasma,102
SMC15,Tumor,B cells,Unknown,2
SMC15,Tumor,Epithelial cells,CMS1,1
SMC15,Tumor,Epithelial cells,CMS2,267
SMC15,Tumor,Epithelial cells,CMS3,50
SMC15,Tumor,Epithelial cells,CMS4,1
SMC15,Tumor,Myeloids,Pro-inflammatory,53
SMC15,Tumor,Myeloids,Proliferating,4
SMC15,Tumor,Myeloids,SPP1+,63
SMC15,Tumor,Myeloids,Unknown,9
SMC15,Tumor,Myeloids,cDC,19
SMC15,Tumor,Stromal cells,Enteric glial cells,10
SMC15,Tumor,Stromal cells,Lymphatic ECs,5
SMC15,Tumor,Stromal cells,Myofibroblasts,81
SMC15,Tumor,Stromal cells,Pericytes,71
SMC15,Tumor,Stromal cells,Proliferative ECs,2
SMC15,Tumor,Stromal cells,Smooth muscle cells,11
SMC15,Tumor,Stromal cells,Stalk-like ECs,21
SMC15,Tumor,Stromal cells,Stromal 1,9
SMC15,Tumor,Stromal cells,Stromal 2,16
SMC15,Tumor,Stromal cells,Stromal 3,9
SMC15,Tumor,Stromal cells,Tip-like ECs,71
SMC15,Tumor,T cells,CD4+ T cells,119
SMC15,Tumor,T cells,CD8+ T cells,113
SMC15,Tumor,T cells,NK cells,23
SMC15,Tumor,T cells,Regulatory T cells,162
SMC15,Tumor,T cells,T follicular helper cells,38
SMC15,Tumor,T cells,T helper 17 cells,157
SMC15,Tumor,T cells,Unknown,258
SMC15,Tumor,T cells,gamma delta T cells,4
SMC16,Tumor,B cells,CD19+CD20+ B,8
SMC16,Tumor,B cells,IgA+ Plasma,1
SMC16,Tumor,B cells,IgG+ Plasma,3
SMC16,Tumor,Epithelial cells,CMS1,102
SMC16,Tumor,Epithelial cells,CMS2,4
SMC16,Tumor,Epithelial cells,CMS3,2614
SMC16,Tumor,Myeloids,Pro-inflammatory,18
SMC16,Tumor,Myeloids,Proliferating,2
SMC16,Tumor,Myeloids,SPP1+,21
SMC16,Tumor,Myeloids,Unknown,4
SMC16,Tumor,Myeloids,cDC,1
SMC16,Tumor,Stromal cells,Lymphatic ECs,2
SMC16,Tumor,Stromal cells,Myofibroblasts,3
SMC16,Tumor,Stromal cells,Pericytes,2
SMC16,Tumor,Stromal cells,Smooth muscle cells,2
SMC16,Tumor,Stromal cells,Stalk-like ECs,2
SMC16,Tumor,Stromal cells,Stromal 2,13
SMC16,Tumor,Stromal cells,Tip-like ECs,5
SMC16,Tumor,T cells,CD4+ T cells,47
SMC16,Tumor,T cells,CD8+ T cells,35
SMC16,Tumor,T cells,NK cells,10
SMC16,Tumor,T cells,Regulatory T cells,29
SMC16,Tumor,T cells,T helper 17 cells,26
SMC16,Tumor,T cells,gamma delta T cells,2
SMC17,Tumor,B cells,CD19+CD20+ B,11
SMC17,Tumor,B cells,IgG+ Plasma,32
SMC17,Tumor,B cells,Unknown,1
SMC17,Tumor,Epithelial cells,CMS1,18
SMC17,Tumor,Epithelial cells,CMS3,486
SMC17,Tumor,Epithelial cells,CMS4,1
SMC17,Tumor,Myeloids,Pro-inflammatory,162
SMC17,Tumor,Myeloids,Proliferating,8
SMC17,Tumor,Myeloids,SPP1+,160
SMC17,Tumor,Myeloids,Unknown,15
SMC17,Tumor,Myeloids,cDC,17
SMC17,Tumor,Stromal cells,Enteric glial cells,1
SMC17,Tumor,Stromal cells,Myofibroblasts,74
SMC17,Tumor,Stromal cells,Pericytes,54
SMC17,Tumor,Stromal cells,Proliferative ECs,6
SMC17,Tumor,Stromal cells,Smooth muscle cells,4
SMC17,Tumor,Stromal cells,Stalk-like ECs,23
SMC17,Tumor,Stromal cells,Stromal 2,2
SMC17,Tumor,Stromal cells,Tip-like ECs,39
SMC17,Tumor,T cells,CD4+ T cells,70
SMC17,Tumor,T cells,CD8+ T cells,54
SMC17,Tumor,T cells,NK cells,20
SMC17,Tumor,T cells,Regulatory T cells,46
SMC17,Tumor,T cells,T follicular helper cells,3
SMC17,Tumor,T cells,T helper 17 cells,29
SMC17,Tumor,T cells,Unknown,7
SMC18,Tumor,B cells,CD19+CD20+ B,36
SMC18,Tumor,B cells,IgA+ Plasma,4
SMC18,Tumor,B cells,IgG+ Plasma,21
SMC18,Tumor,Epithelial cells,CMS1,2
SMC18,Tumor,Epithelial cells,CMS2,1458
SMC18,Tumor,Epithelial cells,CMS3,56
SMC18,Tumor,Myeloids,Pro-inflammatory,28
SMC18,Tumor,Myeloids,Proliferating,2
SMC18,Tumor,Myeloids,SPP1+,37
SMC18,Tumor,Myeloids,Unknown,3
SMC18,Tumor,Myeloids,cDC,9
SMC18,Tumor,Stromal cells,Myofibroblasts,1
SMC18,Tumor,Stromal cells,Stalk-like ECs,4
SMC18,Tumor,Stromal cells,Stromal 3,1
SMC18,Tumor,Stromal cells,Tip-like ECs,1
SMC18,Tumor,T cells,CD4+ T cells,78
SMC18,Tumor,T cells,CD8+ T cells,61
SMC18,Tumor,T cells,NK cells,16
SMC18,Tumor,T cells,Regulatory T cells,49
SMC18,Tumor,T cells,T follicular helper cells,4
SMC18,Tumor,T cells,T helper 17 cells,56
SMC18,Tumor,T cells,gamma delta T cells,9
SMC19,Tumor,B cells,CD19+CD20+ B,233
SMC19,Tumor,B cells,IgA+ Plasma,40
SMC19,Tumor,B cells,IgG+ Plasma,56
SMC19,Tumor,B cells,Unknown,1
SMC19,Tumor,Epithelial cells,CMS1,2
SMC19,Tumor,Epithelial cells,CMS2,27
SMC19,Tumor,Epithelial cells,CMS3,353
SMC19,Tumor,Myeloids,Pro-inflammatory,7
SMC19,Tumor,Myeloids,SPP1+,14
SMC19,Tumor,Myeloids,Unknown,3
SMC19,Tumor,Myeloids,cDC,6
SMC19,Tumor,Stromal cells,Myofibroblasts,2
SMC19,Tumor,Stromal cells,Pericytes,3
SMC19,Tumor,Stromal cells,Smooth muscle cells,4
SMC19,Tumor,Stromal cells,Stalk-like ECs,4
SMC19,Tumor,Stromal cells,Stromal 1,5
SMC19,Tumor,Stromal cells,Stromal 2,17
SMC19,Tumor,Stromal cells,Tip-like ECs,2
SMC19,Tumor,T cells,CD4+ T cells,514
SMC19,Tumor,T cells,CD8+ T cells,118
SMC19,Tumor,T cells,NK cells,12
SMC19,Tumor,T cells,Regulatory T cells,46
SMC19,Tumor,T cells,T follicular helper cells,4
SMC19,Tumor,T cells,T helper 17 cells,61
SMC19,Tumor,T cells,Unknown,6
SMC20,Tumor,B cells,CD19+CD20+ B,35
SMC20,Tumor,B cells,IgG+ Plasma,54
SMC20,Tumor,Epithelial cells,CMS1,1
SMC20,Tumor,Epithelial cells,CMS3,522
SMC20,Tumor,Epithelial cells,CMS4,1
SMC20,Tumor,Myeloids,Pro-inflammatory,83
SMC20,Tumor,Myeloids,Proliferating,5
SMC20,Tumor,Myeloids,SPP1+,208
SMC20,Tumor,Myeloids,Unknown,28
SMC20,Tumor,Myeloids,cDC,23
SMC20,Tumor,Stromal cells,Myofibroblasts,299
SMC20,Tumor,Stromal cells,Pericytes,39
SMC20,Tumor,Stromal cells,Smooth muscle cells,7
SMC20,Tumor,Stromal cells,Stalk-like ECs,10
SMC20,Tumor,Stromal cells,Stromal 1,2
SMC20,Tumor,Stromal cells,Stromal 2,4
SMC20,Tumor,Stromal cells,Tip-like ECs,13
SMC20,Tumor,T cells,CD4+ T cells,23
SMC20,Tumor,T cells,CD8+ T cells,35
SMC20,Tumor,T cells,NK cells,31
SMC20,Tumor,T cells,Regulatory T cells,65
SMC20,Tumor,T cells,T helper 17 cells,1
SMC20,Tumor,T cells,Unknown,191
SMC20,Tumor,T cells,gamma delta T cells,1
SMC21,Tumor,B cells,CD19+CD20+ B,51
SMC21,Tumor,B cells,IgA+ Plasma,1
SMC21,Tumor,B cells,IgG+ Plasma,15
SMC21,Tumor,Epithelial cells,CMS1,3
SMC21,Tumor,Epithelial cells,CMS2,1673
SMC21,Tumor,Epithelial cells,CMS3,51
SMC21,Tumor,Myeloids,Pro-inflammatory,15
SMC21,Tumor,Myeloids,Proliferating,5
SMC21,Tumor,Myeloids,SPP1+,35
SMC21,Tumor,Myeloids,Unknown,4
SMC21,Tumor,Myeloids,cDC,3
SMC21,Tumor,Stromal cells,Myofibroblasts,2
SMC21,Tumor,Stromal cells,Stromal 2,2
SMC21,Tumor,T cells,CD4+ T cells,57
SMC21,Tumor,T cells,CD8+ T cells,93
SMC21,Tumor,T cells,NK cells,27
SMC21,Tumor,T cells,Regulatory T cells,80
SMC21,Tumor,T cells,T follicular helper cells,5
SMC21,Tumor,T cells,T helper 17 cells,220
SMC21,Tumor,T cells,Unknown,5
SMC21,Tumor,T cells,gamma delta T cells,1
SMC22,Tumor,B cells,CD19+CD20+ B,18
SMC22,Tumor,B cells,IgG+ Plasma,5
SMC22,Tumor,Epithelial cells,CMS1,3
SMC22,Tumor,Epithelial cells,CMS2,1690
SMC22,Tumor,Epithelial cells,CMS3,209
SMC22,Tumor,Myeloids,Pro-inflammatory,43
SMC22,Tumor,Myeloids,Proliferating,3
SMC22,Tumor,Myeloids,SPP1+,31
SMC22,Tumor,Myeloids,Unknown,2
SMC22,Tumor,Myeloids,cDC,7
SMC22,Tumor,Stromal cells,Lymphatic ECs,1
SMC22,Tumor,Stromal cells,Myofibroblasts,1
SMC22,Tumor,Stromal cells,Pericytes,2
SMC22,Tumor,Stromal cells,Stalk-like ECs,5
SMC22,Tumor,Stromal cells,Stromal 2,3
SMC22,Tumor,Stromal cells,Tip-like ECs,4
SMC22,Tumor,T cells,CD4+ T cells,45
SMC22,Tumor,T cells,CD8+ T cells,91
SMC22,Tumor,T cells,NK cells,12
SMC22,Tumor,T cells,Regulatory T cells,50
SMC22,Tumor,T cells,T follicular helper cells,2
SMC22,Tumor,T cells,T helper 17 cells,122
SMC22,Tumor,T cells,Unknown,14
SMC23,Tumor,B cells,CD19+CD20+ B,31
SMC23,Tumor,B cells,IgA+ Plasma,2
SMC23,Tumor,B cells,IgG+ Plasma,84
SMC23,Tumor,B cells,Unknown,1
SMC23,Tumor,Epithelial cells,CMS1,4
SMC23,Tumor,Epithelial cells,CMS2,491
SMC23,Tumor,Epithelial cells,CMS3,142
SMC23,Tumor,Epithelial cells,CMS4,2
SMC23,Tumor,Myeloids,Pro-inflammatory,69
SMC23,Tumor,Myeloids,Proliferating,6
SMC23,Tumor,Myeloids,SPP1+,129
SMC23,Tumor,Myeloids,Unknown,15
SMC23,Tumor,Myeloids,cDC,23
SMC23,Tumor,Stromal cells,Myofibroblasts,5
SMC23,Tumor,Stromal cells,Pericytes,5
SMC23,Tumor,Stromal cells,Proliferative ECs,2
SMC23,Tumor,Stromal cells,Smooth muscle cells,1
SMC23,Tumor,Stromal cells,Stalk-like ECs,4
SMC23,Tumor,Stromal cells,Stromal 1,3
SMC23,Tumor,Stromal cells,Stromal 2,6
SMC23,Tumor,Stromal cells,Tip-like ECs,7
SMC23,Tumor,T cells,CD4+ T cells,280
SMC23,Tumor,T cells,CD8+ T cells,103
SMC23,Tumor,T cells,NK cells,39
SMC23,Tumor,T cells,Regulatory T cells,90
SMC23,Tumor,T cells,T follicular helper cells,14
SMC23,Tumor,T cells,T helper 17 cells,76
SMC23,Tumor,T cells,Unknown,3
SMC23,Tumor,T cells,gamma delta T cells,2
SMC24,Tumor,B cells,CD19+CD20+ B,125
SMC24,Tumor,B cells,IgG+ Plasma,36
SMC24,Tumor,Epithelial cells,CMS1,142
SMC24,Tumor,Epithelial cells,CMS2,2
SMC24,Tumor,Epithelial cells,CMS3,172
SMC24,Tumor,Epithelial cells,CMS4,1
SMC24,Tumor,Myeloids,Pro-inflammatory,190
SMC24,Tumor,Myeloids,Proliferating,4
SMC24,Tumor,Myeloids,SPP1+,142
SMC24,Tumor,Myeloids,Unknown,20
SMC24,Tumor,Myeloids,cDC,23
SMC24,Tumor,Stromal cells,Enteric glial cells,1
SMC24,Tumor,Stromal cells,Myofibroblasts,22
SMC24,Tumor,Stromal cells,Pericytes,7
SMC24,Tumor,Stromal cells,Proliferative ECs,2
SMC24,Tumor,Stromal cells,Stalk-like ECs,5
SMC24,Tumor,Stromal cells,Stromal 1,4
SMC24,Tumor,Stromal cells,Stromal 2,1
SMC24,Tumor,Stromal cells,Stromal 3,1
SMC24,Tumor,Stromal cells,Tip-like ECs,12
SMC24,Tumor,T cells,CD4+ T cells,138
SMC24,Tumor,T cells,CD8+ T cells,242
SMC24,Tumor,T cells,NK cells,55
SMC24,Tumor,T cells,Regulatory T cells,126
SMC24,Tumor,T cells,T follicular helper cells,71
SMC24,Tumor,T cells,T helper 17 cells,9
SMC24,Tumor,T cells,Unknown,23
SMC24,Tumor,T cells,gamma delta T cells,4
SMC25,Tumor,B cells,CD19+CD20+ B,164
SMC25,Tumor,B cells,IgA+ Plasma,1
SMC25,Tumor,B cells,IgG+ Plasma,89
SMC25,Tumor,B cells,Unknown,3
SMC25,Tumor,Epithelial cells,CMS2,386
SMC25,Tumor,Epithelial cells,CMS3,30
SMC25,Tumor,Myeloids,Pro-inflammatory,31
SMC25,Tumor,Myeloids,Proliferating,2
SMC25,Tumor,Myeloids,SPP1+,26
SMC25,Tumor,Myeloids,Unknown,4
SMC25,Tumor,Myeloids,cDC,13
SMC25,Tumor,Stromal cells,Myofibroblasts,1
SMC25,Tumor,Stromal cells,Pericytes,2
SMC25,Tumor,Stromal cells,Proliferative ECs,1
SMC25,Tumor,Stromal cells,Stalk-like ECs,13
SMC25,Tumor,Stromal cells,Stromal 2,3
SMC25,Tumor,Stromal cells,Tip-like ECs,7
SMC25,Tumor,T cells,CD4+ T cells,271
SMC25,Tumor,T cells,CD8+ T cells,181
SMC25,Tumor,T cells,NK cells,72
SMC25,Tumor,T cells,Regulatory T cells,93
SMC25,Tumor,T cells,T follicular helper cells,31
SMC25,Tumor,T cells,T helper 17 cells,202
SMC25,Tumor,T cells,Unknown,2
SMC25,Tumor,T cells,gamma delta T cells,4
